word	definition	n	x	y
inh	0: antibacterial drug (trade name Nydrazid) used to treat tuberculosis (isoniazid.n.01)	3		
inr	0: an agency that is the primary source in the State Department for interpretive analyses of global developments and focal point for policy issues and activities of the Intelligence Community (bureau_of_intelligence_and_research.n.01)	3		
iol	0: a clear plastic lens that is implanted in the eye; usually done when the natural lens has been removed in a cataract operation (lens_implant.n.01)	3		
ipv	0: a poliovirus vaccine consisting of inactivated polio virus that is injected subcutaneously to provide immunity to poliomyelitis (salk_vaccine.n.01)	3		
ire	"0: a strong emotion; a feeling that is oriented toward some real or supposed grievance (anger.n.01)
 1: belligerence aroused by a real or supposed wrong (personified as one of the deadly sins) (wrath.n.02)"	3	33	
isn	0: Switzerland's information network for security and defense studies and for peace and conflict research and for international relations (international_relations_and_security_network.n.01)	3		
iud	0: contraceptive device consisting of a piece of bent plastic or metal that is inserted through the vagina into the uterus (intrauterine_device.n.01)	3		
ivp	"0: X-ray picture of the kidneys and ureters after injection of a radiopaque dye (intravenous_pyelogram.n.01)
 1: performing pyelography with intravenous injection of a contrast medium (intravenous_pyelography.n.01)"	3		
iwo	0: a bloody and prolonged operation on the island of Iwo Jima in which American marines landed and defeated Japanese defenders (February and March 1945) (iwo.n.01)	3		
iww	0: a former international labor union and radical labor movement in the United States; founded in Chicago in 1905 and dedicated to the overthrow of capitalism; its membership declined after World War I (industrial_workers_of_the_world.n.01)	3		
ixc	0: being nine more than eighty (eighty-nine.s.01)	3		
ixl	0: being nine more than thirty (thirty-nine.s.01)	3		
jan	0: the first month of the year; begins 10 days after the winter solstice (january.n.01)	3		
jap	0: (offensive slang) offensive term for a person of Japanese descent (jap.n.01)	3		
jat	0: a member of an Indo-European people widely scattered throughout the northwest of the Indian subcontinent and consisting of Muslims and Hindus and Sikhs (jat.n.01)	3		
